LOCATION;Country;TIME;Business enterprise;Government;Higher Education;Private non-profit;Rest of the world;Not specified source;Basic research;Applied research;Experimental development;Not specified activities;Medical and health sciences
DEU;Germany;2007;49951576.853259996;20174681.134770002;;258813.37050999998;2943742.08353;;;;;;
DEU;Germany;2008;54556030.52654;23033777.38447;;252442.40316999998;3254167.16947;;;;;;
DEU;Germany;2009;54714233.34058;24688808.46105;;216803.35559000002;3181194.6989999996;;;;;;
DEU;Germany;2010;57088210.95363001;26457717.05841;;204510.9769;3380567.00819;;;;;;
DEU;Germany;2011;62837019.5971;28634909.646920003;;334031.91676999995;4004022.8770199995;;;;;;
DEU;Germany;2012;66398242.7348;29356616.610309996;;390505.6361;4344671.17013;;;;;;
DEU;Germany;2013;67403474.29995;29968294.13862;;317536.5981;5309217.08755;;;;;;
DEU;Germany;2014;72539265.30825;31783589.449240003;;344232.82632;5502940.33239;;;;;;
LTU;Lithuania;1996;;;;;;;44596.02225;46994.471730000005;21358.97321;;14002.781990000001
LTU;Lithuania;1997;;;;;;;55668.60716;59736.0348;20128.16551;;16597.17297
LTU;Lithuania;1998;;;;;;;69765.18194;64799.92175;15109.27194;;18256.68464
LTU;Lithuania;1999;;;;;;;77053.49433;47779.49834;13546.27059;;16974.58078
LTU;Lithuania;2000;54585.17578;106761.10841;;;11617.02096;;72193.22564;62779.6998;37983.74267;;13181.14852
LTU;Lithuania;2001;81309.94863;123373.28852999999;;;14558.515959999999;;77332.70568;65470.46857999999;76473.32471;;16691.91185
LTU;Lithuania;2002;66085.06894;154402.9006;;;16796.97821;;97059.77107999999;86183.44842;54036.97462000001;;23611.31761
LTU;Lithuania;2003;45756.68382;176507.01976;13032.01386;286.79826;37807.92181;;96955.11731;103900.08542;72537.70717000001;;30361.05675
LTU;Lithuania;2004;65949.16442;208619.68112;19861.29682;910.35974;35248.06682;;118262.25065;121338.63875;90987.67952;;37484.12286
LTU;Lithuania;2005;75206.33087;226352.05153000003;20431.43239;799.70065;37935.22504;;125056.63597999999;131178.48233;104489.62216;;41198.37137
LTU;Lithuania;2006;111707.9738;228733.34839;22705.34619;2401.1178;61172.507620000004;;137914.20349;165094.76736;123709.08309000001;;39958.90066
LTU;Lithuania;2007;162084.0078;231715.45896999998;800.70328;2644.23232;96757.6642;;152365.12659;183305.83059;158331.1094;;36352.35377
LTU;Lithuania;2008;153264.27843;285783.00218;1410.22697;1527.9149699999998;81099.21067999999;;176536.06705;203508.94054;143039.62565;;48071.4922
LTU;Lithuania;2009;146844.17015;251123.73075999998;15321.55302;1358.73998;62024.24037000001;;166489.37456;170813.02596;139367.90072;;46950.11881
